ID,Tag,Code,Area,Material,Cells_in_Series,Year,MP,Label,STC,Efficiency,EffeciencyLink,InfoLink
0,SunPower_128_Cell_Module__2009__E__,SP128,2.144,c-Si,128,2009,400.221,0,400,0.187,https://pvfree.herokuapp.com/pvmodules/1491/,https://us.sunpower.com/sites/default/files/sp-e-series-commercial-solar-panels-supplementary-technical-spec_0.pdf
1,First_Solar_FS_272___2009_,FS272,0.72,CdTe,116,2009,71.2656,1,72.5,0.1007,https://pvfree.herokuapp.com/pvmodules/1171/,http://www.solardesigntool.com/components/module-panel-solar/First-Solar/3126/FS-272/specification-data-sheet.html
2,Solar_Frontier_SF_160S__2013_,SF160S,1.22,CIS,172,2013,159.1009971,2,160,0.132,https://pvfree.herokuapp.com/pvmodules/1567/,http://www.solardesigntool.com/components/module-panel-solar/Solar-Frontier/2295/SF160-S/specification-data-sheet.html
3,SolFocus_SF_1100S_CPV_28__330____2010_,SF1100S,1.502,GaAs,20,2010,413.2028,3,415,0.284,https://pvfree.herokuapp.com/pvmodules/1488/,https://www.renewableenergyworld.com/solar/solfocus-releases-new-sf-1100s-cpv-system-54084/
4,Kyocera_Solar_KD135GX_LP__2008__E__,KD135GX,1.002,mc-Si,36,2008,135.051,4,135,0.1347,https://pvfree.herokuapp.com/pvmodules/1203/,https://www.ecodirect.com/Kyocera-KD135GX-LP-135-Watt-12-Volt-Pallet-20-p/kyocera-kd135gx-lp-20.htm
5,Kyocera_Solar_KS20__2008__E__,KS20,0.072,mc-Si,36,2008,20.184,5,20,0.28,https://pvfree.herokuapp.com/pvmodules/1211/,https://www.ecodirect.com/Kyocera-KS20-Solar-Panel-20-Watt-12-Volt-p/kyocera-ks20.htm
6,Kyocera_Solar_KC85T__2008__E__,KC85T,0.656,mc-Si,36,2008,87.348,6,85,0.134,https://pvfree.herokuapp.com/pvmodules/1202/,https://www.ecodirect.com/Kyocera-KC85T-85-Watt-12-volt-p/kyocera-kc85t.htm
7,Suniva_Titan_240__2009__E__,ST240,1.643,c-Si,60,2009,244.0854,7,240,0.147,https://pvfree.herokuapp.com/pvmodules/1490/,http://www.simpleenergyworks.com/wp-content/uploads/2011/09/Suniva240.pdf
8,BP_Solar_BP3232G___2010_,BP3232G,1.6068,c-Si,120,2010,237.1548518,8,230,0.148,https://pvfree.herokuapp.com/pvmodules/1104/,https://www.solarelectricsupply.com/bp-solar-bp3230t-solar-panels-272
9,SunPower_SP305_GEN_C_Module__2008__E__,SP305,1.63,c-Si,96,2008,305.226,9,305,0.187,https://pvfree.herokuapp.com/pvmodules/1494/,https://www.pocosolar.com/wp-content/themes/twentyfifteen/pdfs/Sunpower%20Solar%20Panels/sunpower_305wht_spec_sheet.pdf
10,LG_LG290N1C_G3__2013_,LG290N1C,1.64,c-Si,60,2013,289.3674363,10,290,0.179,https://pvfree.herokuapp.com/pvmodules/1565/,https://www.lg.com/us/business/solar-panels/lg-LG290N1C-G3
11,Sharp_ND_216U1F__2008__E__,ND216U1F,2.63,mc-Si,60,2008,216.172,11,215,0.083,https://pvfree.herokuapp.com/pvmodules/1348/,https://thesolarstore.com/manuals/SHARP216.pdf
12,Silevo_Triex_U300_Black__2014_,STU300,1.68,c-Si,96,2014,298.5126,12,300,0.178,https://pvfree.herokuapp.com/pvmodules/1569/,https://www.solarelectricsupply.com/silevo-triex-u300-solar-panel-wholesale
